sample_id,target_object,region,comparison,high_text,comparison_text,high_answer_class,comparison_answer_class,high_hallucinated,comparison_hallucinated,paired_advantage
sample_000093,dog,all,low,"Yes, there is a dog in the image, and it is looking out of the car window.","Yes, there is a dog in the image, and it is sticking its head out of a car window.",yes,yes,1,1,0
sample_000094,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000095,bus,all,low,"Yes, there is a bus in the image.","Yes, there is a bus in the image, and it is parked in front of a building.",yes,yes,1,1,0
sample_000096,bench,all,low,"Yes, there is a bench in the image, and a person is sitting on it.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000097,bus,all,low,"Yes, there is a bus in the image, and it is parked in a grassy area.","Yes, there is a bus in the image, and it is parked in a grassy area.",yes,yes,1,1,0
sample_000098,car,all,low,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000099,car,all,low,"Yes, there is a car in the image, and it is covered in a tarp.","Yes, there is a car in the image, and it is covered with a tarp.",yes,yes,1,1,0
sample_000100,bench,all,low,"No, there is no bench in the image. The image features a truck, a trailer, and a tire.","No, there is no bench in the image. The image features a truck, a trailer, and a tire.",no,no,0,0,0
sample_000101,car,all,low,"Yes, there is a car in the image.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000102,bus,all,low,"Yes, there is a bus in the image, and it is parked on the side of the street.","Yes, there is a bus in the image, and it is driving down a city street.",yes,yes,1,1,0
sample_000103,car,all,low,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000104,dog,all,low,"Yes, there is a dog in the image, and it is standing next to a fire hydrant.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000105,bicycle,all,low,"Yes, there is a bicycle in the image, and it is being ridden by a person.","Yes, there is a bicycle in the image, and it is parked on the sidewalk.",yes,yes,1,1,0
sample_000106,cat,all,low,"No, there is no cat in the image. The image features a couch with a bowl on it.","No, there is no cat in the image. The image features a couch, a table, and some plates.",no,no,0,0,0
sample_000107,bus,all,low,"Yes, there is a bus in the image, and it is parked at a bus stop.","Yes, there is a bus in the image, and it is parked at a bus stop.",yes,yes,1,1,0
sample_000108,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000109,cat,all,low,"No, there is no cat in the image. The image features a person's hand and a cat's paw.","No, there is no cat in the image. The image features a person's hand and a blanket.",no,no,0,0,0
sample_000110,dog,all,low,"Yes, there is a dog in the image, and it is laying on a bed.","Yes, there is a dog in the image, and it is laying on a bed.",yes,yes,1,1,0
sample_000111,bus,all,low,No,"No, there is no bus in the image. The image features a car driving down a street with a tree in the background.",no,no,0,0,0
sample_000112,cat,all,low,"Yes, there is a cat in the image, and it is sitting on a table.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000113,bottle,all,low,"Yes, there is a bottle in the image, and it is placed on a table.","Yes, there is a bottle in the image, and it is placed on the table next to the cake.",yes,yes,1,1,0
sample_000114,cat,all,low,"No, there is no cat in the image. The image features a person holding a suitcase and a magazine.","No, there is no cat in the image. The image features a person holding a suitcase and a magazine.",no,no,0,0,0
sample_000115,car,all,low,"No, there is no car in the image. The image features a cat sitting on a table.","No, there is no car in the image. The image features a cat sitting on a surface.",no,no,0,0,0
sample_000116,bench,all,low,"Yes, there is a bench in the image, and the stuffed animals are sitting on it.","Yes, there is a bench in the image, and the two stuffed animals are sitting on it.",yes,yes,1,1,0
sample_000117,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000118,bus,all,low,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000119,cat,all,low,"No, there is no cat in the image. The image features a dog and a cat statue.","No, there is no cat in the image. The image features a dog and a cat statue.",no,no,0,0,0
sample_000120,cat,all,low,"Yes, there is a cat in the image, and it is sitting on the edge of a sink.","Yes, there is a cat in the image, and it is sitting on the edge of a sink.",yes,yes,1,1,0
sample_000121,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000122,car,all,low,"Yes, there is a car in the image, and it is passing by a train.","Yes, there is a car in the image, and it is driving next to a train.",yes,yes,1,1,0
sample_000123,car,all,low,"Yes, there is a car in the image, and it is parked in a parking lot.","Yes, there is a car in the image, and it is parked in a parking lot.",yes,yes,1,1,0
sample_000124,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000125,bus,all,low,"No, there is no bus in the image. The image features a dark room with a light source, possibly a window, and a reflection of a person in the room.","No, there is no bus in the image. The image features a dark room with a light source, possibly a window, and a reflection of a person in the room.",no,no,0,0,0
sample_000126,car,all,low,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000127,bus,all,low,"Yes, there is a bus in the image, and it is parked in front of a tall building.","Yes, there is a bus in the image. It is a blue and white bus parked in front of a building.",yes,yes,1,1,0
sample_000128,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000129,car,all,low,"No, there is no car in the image. The image features a man standing in front of a pile of carrots.","No, there is no car in the image. The image features a man standing in front of a table full of carrots and potatoes.",no,no,0,0,0
sample_000130,chair,all,low,"Yes, there is a chair in the image, and a cat is sitting on it.","Yes, there is a chair in the image, and a cat is sitting on it.",yes,yes,1,1,0
sample_000131,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000132,bus,all,low,"Yes, there is a bus in the image, and it is driving down a street.","Yes, there is a bus in the image. It is a large bus driving down a street.",yes,yes,1,1,0
sample_000133,bottle,all,low,"No, there is no bottle in the image. The image features a dog laying on a carpet.","No, there is no bottle in the image. The image features a dog laying on a carpet.",no,no,0,0,0
sample_000134,cat,all,low,"No, there is no cat in the image. The image features a laptop computer sitting on a wooden desk.","No, there is no cat in the image. The image features a laptop computer and a mouse on a desk.",no,no,0,0,0
sample_000135,chair,all,low,"Yes, there is a chair in the image, and the cat is sitting on it.","Yes, there is a chair in the image, and the cat is sitting on it.",yes,yes,1,1,0
sample_000136,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000137,bench,all,low,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000138,bicycle,all,low,"Yes, there is a bicycle in the image, and a man is standing next to it.","Yes, there is a bicycle in the image.",yes,yes,1,1,0
sample_000139,car,all,low,"No, there is no car in the image. The image features a table with plates, a glass of wine, and a sandwich.","No, there is no car in the image. The image features a table with plates, glasses, and food.",no,no,0,0,0
sample_000140,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000141,dog,all,low,"Yes, there is a dog in the image, and it is being held by a man wearing a cowboy hat.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000142,dog,all,low,"Yes, there is a dog in the image, and it is standing on the beach.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000143,dog,all,low,"No, there is no dog in the image. The image features a person holding a suitcase and a magazine.","No, there is no dog in the image. The image features a person holding a suitcase with various items in it, including a magazine.",no,no,0,0,0
sample_000144,dog,all,low,"No, there is no dog in the image. The image features a horse standing in a grassy field.","No, there is no dog in the image. The image features a horse standing in a grassy field.",no,no,0,0,0
sample_000145,bench,all,low,"No, there is no bench in the image. The image features a brick wall and a dark background.","No, there is no bench in the image. The image features a wall with a brick pattern and a dark background.",no,no,0,0,0
sample_000146,bus,all,low,"No, there is no bus in the image. The image features a car driving down a street in front of a building.","No, there is no bus in the image. The image features a car driving down a street in a city.",no,no,0,0,0
sample_000147,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000148,bicycle,all,low,"Yes, there is a bicycle in the image, and a man is standing next to it.","Yes, there is a bicycle in the image, and it is parked next to a motorcycle.",yes,yes,1,1,0
sample_000149,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000150,bus,all,low,"Yes, there is a bus in the image, and it is parked on the side of the road.","Yes, there is a bus in the image, and it is parked next to a building.",yes,yes,1,1,0
sample_000151,cat,all,low,"No, there is no cat in the image. The image features a suitcase with a zipper and a handle.","Yes, there is a cat in the image, and it is sitting on top of the suitcase.",no,yes,0,1,1
sample_000152,dog,all,low,"No, there is no dog in the image. The image features a laptop computer and a bag of fabric.","Yes, there is a dog in the image, and it is laying on a bed next to a laptop computer.",no,yes,0,1,1
sample_000153,dog,all,low,"No, there is no dog in the image. The image features a blue ball on a table.","No, there is no dog in the image. The image features a blue ball on a table.",no,no,0,0,0
sample_000154,chair,all,low,"Yes, there is a chair in the image, and it is located inside a bus.","Yes, there is a chair in the image, located in the middle of the bus.",yes,yes,1,1,0
sample_000155,dog,all,low,"Yes, there is a dog in the image. It is lying on a couch, and it appears to be sleeping.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000156,car,all,low,"No, there is no car in the image. The image features a boy on a skateboard, a bicycle, and a road.","No, there is no car in the image. The image features a young boy riding a skateboard on a sidewalk.",no,no,0,0,0
sample_000157,bicycle,all,low,"Yes, there is a bicycle in the image, and a woman is sitting on it.","Yes, there is a bicycle in the image, and a woman is sitting on it.",yes,yes,1,1,0
sample_000158,car,all,low,"Yes, there is a car in the image, and it is parked on a dirt road.","Yes, there is a car in the image.",yes,yes,1,1,0
sample_000159,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000160,bench,all,low,"Yes, there is a bench in the image, and two people are sitting on it.","Yes, there is a bench in the image where the two people are sitting.",yes,yes,1,1,0
sample_000161,cat,all,low,"Yes, there is a cat in the image, and it is looking out of a window.","Yes, there is a cat in the image. The cat is sitting in a window and looking out.",yes,yes,1,1,0
sample_000162,bench,all,low,"No, there is no bench in the image. The image features a dog standing on a sidewalk next to a tree.","No, there is no bench in the image. The image features a dog sitting on the ground next to a tree.",no,no,0,0,0
sample_000163,bench,all,low,"Yes, there is a bench in the image, and it is located next to a potted plant.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000164,cat,all,low,"No, there is no cat in the image. The image features a sink and a faucet.","Yes, there is a cat in the image, sitting in a bathroom sink.",no,yes,0,1,1
sample_000165,bicycle,all,low,"Yes, there is a bicycle in the image, which is parked on a wooden floor.","Yes, there is a bicycle in the image, and it is parked next to a wooden floor.",yes,yes,1,1,0
sample_000166,cat,all,low,"Yes, there is a cat in the image, and it is laying on top of a laptop computer.","Yes, there is a cat in the image. It is laying on top of a laptop computer.",yes,yes,1,1,0
sample_000167,car,all,low,"Yes, there is a car in the image, and the man is pushing a luggage cart next to it.","Yes, there is a car in the image, and the two men are standing next to it.",yes,yes,1,1,0
sample_000168,bottle,all,low,"Yes, there is a bottle in the image, and it is placed next to a sandwich.","Yes, there is a bottle in the image, which is placed next to the sandwich and the cupcake.",yes,yes,1,1,0
sample_000169,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is walking with a person.",yes,yes,1,1,0
sample_000170,dog,all,low,"No, there is no dog in the image. The image features a bed with a blanket and a pillow.","No, there is no dog in the image. The image features a bed with a blanket and a pillow.",no,no,0,0,0
sample_000171,bus,all,low,"No, there is no bus in the image. The image features a car driving down a wet road.","No, there is no bus in the image. The image features a car driving down a wet road.",no,no,0,0,0
sample_000172,car,all,low,"No, there is no car in the image. The image features a horse and a dog walking down a road.","No, there is no car in the image. The image features a group of horses walking down a road.",no,no,0,0,0
sample_000173,dog,all,low,"Yes, there is a dog in the image, and it is laying on a blanket.","Yes, there is a dog in the image, and it is sitting on a bed.",yes,yes,1,1,0
sample_000174,chair,all,low,"Yes, there is a chair in the image, and it is positioned in front of the desk.","Yes, there is a chair in the image, located next to the desk.",yes,yes,1,1,0
sample_000175,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000176,chair,all,low,"Yes, there is a chair in the image, and the woman is sitting on it.","No, there is no chair in the image. The woman is sitting on a step or a stair.",yes,no,1,0,-1
sample_000177,chair,all,low,"Yes, there is a chair in the image, and a man is sitting on it.","Yes, there is a chair in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000178,chair,all,low,"Yes, there is a chair in the image, and the two children are sitting on it.","Yes, there is a chair in the image, and the two children are sitting on it.",yes,yes,1,1,0
sample_000179,car,all,low,"Yes, there is a car in the image, and it is driving next to a bus.","Yes, there is a car in the image, and it is driving next to a bus.",yes,yes,1,1,0
sample_000180,dog,all,low,"Yes, there is a dog in the image, and it is laying on the floor next to the person.","Yes, there is a dog in the image, and it is sitting on the floor in front of a television.",yes,yes,1,1,0
sample_000181,bench,all,low,"Yes, there is a bench in the image, and a woman is sitting on it.","Yes, there is a bench in the image, and the woman is sitting on it.",yes,yes,1,1,0
sample_000182,dog,all,low,"Yes, there is a dog in the image, and it is sitting in a cage.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000183,dog,all,low,"Yes, there is a dog in the image, lying on a bed with blankets.","No, there is no dog in the image. The image features a cat lying on a bed.",yes,no,1,0,-1
sample_000184,chair,all,low,"Yes, there is a chair in the image, and the cat is sitting on top of it.","Yes, there is a chair in the image, and the cat is sitting on top of it.",yes,yes,1,1,0
sample_000185,bus,all,low,"No, there is no bus in the image. The image features people holding umbrellas and walking on a street.","Yes, there is a bus in the image, and it is parked next to a building.",no,yes,0,1,1
sample_000186,bench,all,low,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000187,chair,all,low,"Yes, there is a chair in the image, which is located next to the couch.","Yes, there is a chair in the image, located next to the couch.",yes,yes,1,1,0
sample_000188,bus,all,low,"Yes, there is a bus in the image, and it is blurry.","Yes, there is a bus in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000189,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000190,bottle,all,low,"Yes, there is a bottle in the image, which is placed next to the sandwich.","Yes, there is a bottle in the image, which is placed next to the sandwich.",yes,yes,1,1,0
sample_000191,bus,all,low,"No, there is no bus in the image. The image features a car and a motorcycle.","No, there is no bus in the image. The image features a motorcycle and a car on a street.",no,no,0,0,0
sample_000192,bus,all,low,"Yes, there is a bus in the image, and it is parked next to the motorcycle.","Yes, there is a bus in the image, and it is parked next to the motorcycle.",yes,yes,1,1,0
sample_000193,bench,all,low,"Yes, there is a bench in the image, and a person is sitting on it.","Yes, there is a bench in the image, and a person is sitting on it.",yes,yes,1,1,0
sample_000194,chair,all,low,"Yes, there is a chair in the image, located next to the desk.","Yes, there is a chair in the image, and it is positioned in front of the desk.",yes,yes,1,1,0
sample_000195,bus,all,low,"No, there is no bus in the image. The image features a red truck driving down a road.","No, there is no bus in the image. The image features a truck driving down a road.",no,no,0,0,0
sample_000196,car,all,low,"Yes, there is a car in the image, and the man and the child are riding on the back of it.","Yes, there is a car in the image, and the man and the child are riding on the back of it.",yes,yes,1,1,0
sample_000197,bench,all,low,"No, there is no bench in the image. The image features a tree growing in a dirt field, with a building in the background.","Yes, there is a bench in the image, located next to a building and a tree.",no,yes,0,1,1
sample_000198,bench,all,low,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000199,bus,all,low,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000200,bus,all,low,"Yes, there is a bus in the image, and it is parked on the side of the road.","Yes, there is a bus in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000201,cat,all,low,"No, there is no cat in the image. The image features a car, specifically the hood of a car.","No, there is no cat in the image. The image features a car, not a cat.",no,no,0,0,0
sample_000202,bicycle,all,low,"Yes, there is a bicycle in the image, and it is parked in front of a house.","Yes, there is a bicycle in the image.",yes,yes,1,1,0
sample_000203,chair,all,low,"Yes, there is a chair in the image, which is located in the living room.","Yes, there is a chair in the image, which is located in the living room.",yes,yes,1,1,0
sample_000204,car,all,low,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000205,cat,all,low,"No, there is no cat in the image. The image features a pair of shoes and a wall.","Yes, there is a cat in the image, and it is sitting on top of a pair of shoes.",no,yes,0,1,1
sample_000206,car,all,low,"Yes, there is a car in the image, and it is partially visible through a window.","Yes, there is a car in the image, and it is partially visible through a window.",yes,yes,1,1,0
sample_000207,dog,all,low,"Yes, there is a dog in the image. It is a small dog, and it is laying on top of a book.","Yes, there is a dog in the image. It is a small dog, and it is laying on a book.",yes,yes,1,1,0
sample_000208,cat,all,low,"No, there is no cat in the image. The image features a laptop computer sitting on a table.","No, there is no cat in the image. The image features a laptop computer sitting on a table.",no,no,0,0,0
sample_000209,chair,all,low,"Yes, there is a chair in the image, and it is positioned in front of a television.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000210,bicycle,all,low,"No, there is no bicycle in the image. The image features a door with a wooden frame and a brick wall.","No, there is no bicycle in the image. The image features a doorway with a wooden door and a basket.",no,no,0,0,0
sample_000211,cat,all,low,"No, there is no cat in the image. The image features a blue ball, a red pen, and a wooden table.","No, there is no cat in the image. The image features a blue ball on a table.",no,no,0,0,0
sample_000212,bench,all,low,"Yes, there is a bench in the image, and the person is sitting on it.","Yes, there is a bench in the image, and an elderly woman is sitting on it.",yes,yes,1,1,0
sample_000213,dog,all,low,"No, there is no dog in the image. The image features a stove top oven with a door open.","No, there is no dog in the image. The image features a person sitting in front of an oven.",no,no,0,0,0
sample_000214,car,all,low,"Yes, there is a car in the image, and the motorcycle is riding next to it.","Yes, there is a car in the image, and the motorcycle rider is passing by it.",yes,yes,1,1,0
sample_000215,car,all,low,"Yes, there is a car in the image, parked on the side of the road.","Yes, there is a car in the image, parked on the street next to a building.",yes,yes,1,1,0
sample_000216,car,all,low,"Yes, there is a car in the image, and it is driving down a wet street.","Yes, there is a car in the image, and it is driving down a wet street.",yes,yes,1,1,0
sample_000217,bench,all,low,"Yes, there is a bench in the image, and the rooster is standing next to it.","Yes, there is a bench in the image, and the chicken is standing next to it.",yes,yes,1,1,0
sample_000218,bus,all,low,"No, there is no bus in the image. The image features a row of trees, a sidewalk, and a bench.","Yes, there is a bus in the image, and it is parked on the side of the road.",no,yes,0,1,1
sample_000219,bench,all,low,"Yes, there is a bench in the image, and a man is sitting on it.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000220,bench,all,low,"Yes, there is a bench in the image, and the person is sitting on it.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000221,dog,all,low,"No, there is no dog in the image. The image features a pile of books and papers on a table.","No, there is no dog in the image. The image features a pile of books and papers on a table.",no,no,0,0,0
sample_000222,dog,all,low,"Yes, there is a dog in the image. It is laying down on the grass.","Yes, there is a dog in the image. It is lying on the grass.",yes,yes,1,1,0
sample_000223,car,all,low,"Yes, there is a car in the image, which is parked in front of a building.","Yes, there is a car in the image, and it is parked in front of a building.",yes,yes,1,1,0
sample_000224,car,all,low,"Yes, there is a car in the image, and it is parked in a parking lot.","Yes, there is a car in the image, and it is parked in a parking lot.",yes,yes,1,1,0
sample_000225,chair,all,low,"Yes, there is a chair in the image, located next to a fireplace.","Yes, there is a chair in the image, located in front of the fireplace.",yes,yes,1,1,0
sample_000226,cat,all,low,"No, there is no cat in the image. The image features a box with a hat and a pair of shoes.","No, there is no cat in the image. The image features a pirate hat and a box on the floor.",no,no,0,0,0
sample_000227,car,all,low,"Yes, there is a car in the image, and the motorcycle cop is riding next to it.","Yes, there is a car in the image, and the police officer is standing next to it.",yes,yes,1,1,0
sample_000228,bus,all,low,Yes,"Yes, there is a bus in the image, and it is parked at a bus stop.",yes,yes,1,1,0
sample_000229,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000230,bus,all,low,"No, there is no bus in the image. The image features a red car parked in front of a building.","No, there is no bus in the image. The image features a red sports car parked in front of a building.",no,no,0,0,0
sample_000231,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000232,bicycle,all,low,"Yes, there is a bicycle in the image, parked next to a row of motorcycles.","Yes, there is a bicycle in the image, parked on the side of the street.",yes,yes,1,1,0
sample_000233,bench,all,low,"Yes, there is a bench in the image, located near the water.","Yes, there is a bench in the image, located near the water and surrounded by tall grass.",yes,yes,1,1,0
sample_000234,cat,all,low,"Yes, there is a cat in the image.","No, there is no cat in the image. The image features a bird sitting on a wooden bench.",yes,no,1,0,-1
sample_000235,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000236,bench,all,low,"No, there is no bench in the image. The image features a table with plates of food and a fork.","No, there is no bench in the image. The image shows a table with plates of food and a person sitting on the floor.",no,no,0,0,0
sample_000237,car,all,low,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000238,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000239,cat,all,low,"Yes, there is a cat in the image, and it is sitting on a white surface.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000240,cat,all,low,"Yes, there is a cat in the image, and it is sitting in the leaves.","Yes, there is a cat in the image, and it is sitting in the leaves.",yes,yes,1,1,0
sample_000241,bus,all,low,"No, there is no bus in the image. The image features a house, a tree, and a street.","No, there is no bus in the image. The image shows a street with a house, a tree, and a bench.",no,no,0,0,0
sample_000242,chair,all,low,"Yes, there is a chair in the image, and it is positioned in front of the desk.","Yes, there is a chair in the image, located next to the desk.",yes,yes,1,1,0
sample_000243,cat,all,low,"No, there is no cat in the image. The image features a toilet and a shower curtain.","Yes, there is a cat in the image, and it is sitting on the toilet seat.",no,yes,0,1,1
sample_000244,chair,all,low,"Yes, there is a chair in the image, and a man is sitting on it.","Yes, there is a chair in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000245,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image. It is sitting on a chair.",yes,yes,1,1,0
sample_000246,car,all,low,"Yes, there is a car in the image, and the man is standing next to it.","Yes, there is a car in the image, and the man is walking past it.",yes,yes,1,1,0
sample_000247,bench,all,low,"Yes, there is a bench in the image, and a cat is sitting on it.","Yes, there is a bench in the image, and a cat is sitting on it.",yes,yes,1,1,0
sample_000248,chair,all,low,"Yes, there is a chair in the image, located next to the table.","Yes, there is a chair in the image, located next to the wooden dining table.",yes,yes,1,1,0
sample_000249,cat,all,low,"Yes, there is a cat in the image, and it is sitting on a sink.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000250,car,all,low,"Yes, there is a car in the image, parked in front of a stop sign.","Yes, there is a car in the image, parked in front of a building.",yes,yes,1,1,0
sample_000252,car,all,low,"No, there is no car in the image. The image features a motorcycle and a picture of a bomb.","No, there is no car in the image. The image features a motorcycle and a painting of a rocket.",no,no,0,0,0
sample_000253,car,all,low,"Yes, there is a car in the image.","Yes, there is a car in the image, and it is driving down a busy street.",yes,yes,1,1,0
sample_000254,bench,all,low,"Yes, there is a bench in the image, and it is located next to a statue.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000255,cat,all,low,"No, there is no cat in the image. The image features a sink with a green sponge and a faucet.","No, there is no cat in the image. The image features a sink with a faucet and a green sponge.",no,no,0,0,0
sample_000256,bus,all,low,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000257,cat,all,low,"Yes, there is a cat in the image, and it is sitting on top of a brick wall.","Yes, there is a cat in the image, and it is sitting on top of a brick wall.",yes,yes,1,1,0
sample_000258,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000259,car,all,low,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is parked on the street.",yes,yes,1,1,0
sample_000260,chair,all,low,"Yes, there is a chair in the image, located next to the desk.","Yes, there is a chair in the image, located in front of a desk.",yes,yes,1,1,0
sample_000261,chair,all,low,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
sample_000262,chair,all,low,"Yes, there is a chair in the image, and the cat is sitting on it.","Yes, there is a chair in the image, and the cat is sitting on it.",yes,yes,1,1,0
sample_000263,bench,all,low,"Yes, there is a bench in the image, and the cat is sitting on it.","Yes, there is a bench in the image, and the cat is sitting on it.",yes,yes,1,1,0
sample_000264,dog,all,low,"No, there is no dog in the image. The image features two vases, one of which is painted with a bird and the other with a bird and a fish.","No, there is no dog in the image. The image features two cups or bowls with bird designs on them.",no,no,0,0,0
sample_000265,dog,all,low,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is sitting on a table next to a laptop.",yes,yes,1,1,0
sample_000266,car,all,low,"Yes, there is a car in the image, and it is driving under a traffic light.","Yes, there is a car in the image, and it is stopped at a traffic light.",yes,yes,1,1,0
sample_000267,cat,all,low,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000268,cat,all,low,"Yes, there is a cat in the image, and it is peeking out from behind a wooden cabinet.","Yes, there is a cat in the image. The cat is sitting inside a cabinet or a drawer.",yes,yes,1,1,0
sample_000269,chair,all,low,"Yes, there is a chair in the image.","Yes, there is a chair in the image.",yes,yes,1,1,0
