sample_id,target_object,prompt,condition,baseline_text,masked_text,baseline_answer_class,masked_answer_class,baseline_correct,masked_correct,accuracy_change
sample_000114,cat,Is there a cat in the image?,all,"No, there is no cat in the image. The image features a person holding a suitcase and a magazine.","No, there is no cat in the image. The image features a person holding a suitcase and a magazine.",no,no,0,0,0
sample_000115,car,Is there a car in the image?,all,"Yes, there is a car in the image, and the cat is sitting on top of it.","Yes, there is a car in the image, and the cat is sitting on top of it.",yes,yes,1,1,0
sample_000116,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image, and the stuffed animals are sitting on it.","Yes, there is a bench in the image, and a stuffed animal is sitting on it.",yes,yes,1,1,0
sample_000117,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000118,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is driving down the street.","No, there is no bus in the image. The image shows a traffic jam with cars and a motorcycle.",yes,no,1,0,-1
sample_000119,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000120,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image, and it is standing on the edge of the sink.","Yes, there is a cat in the image, and it is sitting on the edge of a sink.",yes,yes,1,1,0
sample_000121,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000122,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is driving on a street.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000123,car,Is there a car in the image?,all,"Yes, there is a car in the image. It is a white car parked in a parking lot.","Yes, there is a car in the image, which is a silver car parked in a parking lot.",yes,yes,1,1,0
sample_000124,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000125,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a large bus parked in a garage or a bus station.","Yes, there is a bus in the image, and it is parked in a garage.",yes,yes,1,1,0
sample_000126,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is driving down a busy street.","Yes, there is a car in the image.",yes,yes,1,1,0
sample_000127,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000128,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000129,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is parked next to a pile of carrots.","Yes, there is a car in the image, and it is parked next to a pile of carrots.",yes,yes,1,1,0
sample_000130,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and a cat is sitting on it.","Yes, there is a chair in the image, and a cat is sitting on it.",yes,yes,1,1,0
sample_000131,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000132,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a red and white bus driving down a street.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000133,bottle,Is there a bottle in the image?,all,"Yes, there is a bottle in the image, and a dog is laying on the floor next to it.","Yes, there is a bottle in the image, and a dog is laying next to it.",yes,yes,1,1,0
sample_000134,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image, and it is sitting on a table next to a laptop.","Yes, there is a cat in the image, and it is sitting next to a laptop computer.",yes,yes,1,1,0
sample_000135,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and the cat is sitting on it.","Yes, there is a chair in the image, and a cat is sitting on it.",yes,yes,1,1,0
sample_000136,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000137,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000138,bicycle,Is there a bicycle in the image?,all,"Yes, there is a bicycle in the image.","Yes, there is a bicycle in the image.",yes,yes,1,1,0
sample_000139,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is passing by the table with the food and wine.","No, there is no car in the image. The image features a table with plates, a wine glass, and a sandwich.",yes,no,1,0,-1
sample_000140,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000141,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image. The dog is being held by a man wearing a hat.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000142,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000143,dog,Is there a dog in the image?,all,"No, there is no dog in the image. The image features a person holding a suitcase and a magazine.","No, there is no dog in the image. The image features a person holding a piece of luggage and a magazine.",no,no,0,0,0
sample_000144,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is standing next to a horse.",yes,yes,1,1,0
sample_000145,bench,Is there a bench in the image?,all,"No, there is no bench in the image. The image features a brick wall and a sidewalk.","No, there is no bench in the image. The image features a brick wall and a brick road.",no,no,0,0,0
sample_000146,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is driving down a street.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000147,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000148,bicycle,Is there a bicycle in the image?,all,"Yes, there is a bicycle in the image.","Yes, there is a bicycle in the image.",yes,yes,1,1,0
sample_000149,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image. It is a white dog standing on a beach.",yes,yes,1,1,0
sample_000150,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a red bus parked on the side of the road.","Yes, there is a red bus in the image.",yes,yes,1,1,0
sample_000151,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image. The cat is laying on top of a suitcase.","Yes, there is a cat in the image, and it is laying on top of a suitcase.",yes,yes,1,1,0
sample_000152,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000153,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000154,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and it is located in a bus.","Yes, there is a chair in the image, and it is located inside a bus.",yes,yes,1,1,0
sample_000155,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000156,car,Is there a car in the image?,all,"Yes, there is a car in the image, and the boy is riding his skateboard in front of it.","Yes, there is a car in the image.",yes,yes,1,1,0
sample_000157,bicycle,Is there a bicycle in the image?,all,"Yes, there is a bicycle in the image.","Yes, there is a bicycle in the image.",yes,yes,1,1,0
sample_000158,car,Is there a car in the image?,all,"Yes, there is a car in the image.","Yes, there is a car in the image.",yes,yes,1,1,0
sample_000159,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000160,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image, and two people are sitting on it.","Yes, there is a bench in the image, and two people are sitting on it.",yes,yes,1,1,0
sample_000161,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image. It is sitting in a window and looking out.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000162,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000163,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000164,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image, and it is sitting in the sink.","No, there is no cat in the image. The image features a sink and a faucet.",yes,no,1,0,-1
sample_000165,bicycle,Is there a bicycle in the image?,all,"Yes, there is a bicycle in the image.","Yes, there is a bicycle in the image.",yes,yes,1,1,0
sample_000166,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000167,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is parked in a parking lot.","Yes, there is a car in the image, and it is parked in a parking lot.",yes,yes,1,1,0
sample_000168,bottle,Is there a bottle in the image?,all,"Yes, there is a bottle in the image, which is a Starbucks vanilla drink.","Yes, there is a bottle in the image, which is placed next to the food container.",yes,yes,1,1,0
sample_000169,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image. It is a small dog being walked by a person.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000170,dog,Is there a dog in the image?,all,"No, there is no dog in the image. The image features a bed with a blanket and a pillow.","No, there is no dog in the image. The image features a bed with a blanket and a pillow.",no,no,0,0,0
sample_000171,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a large bus driving down a wet road.","Yes, there is a bus in the image, and it is driving down a wet road.",yes,yes,1,1,0
sample_000172,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is parked on the side of the road.","Yes, there is a car in the image.",yes,yes,1,1,0
sample_000173,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000174,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, located next to the desk with the laptop and papers.","Yes, there is a chair in the image, and it is positioned in front of the desk.",yes,yes,1,1,0
sample_000175,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000176,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and the woman is sitting on it.","Yes, there is a chair in the image, and a woman is sitting on it.",yes,yes,1,1,0
sample_000177,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image.","Yes, there is a chair in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000178,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and a little girl is sitting on it.","Yes, there is a chair in the image, and a child is sitting on it.",yes,yes,1,1,0
sample_000179,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is driving next to a bus.","Yes, there is a car in the image, and it is driving next to a bus.",yes,yes,1,1,0
sample_000180,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000181,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image, and a woman is sitting on it.","Yes, there is a bench in the image, and a woman is sitting on it.",yes,yes,1,1,0
sample_000182,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000183,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000184,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and the cat is sitting on top of it.","Yes, there is a chair in the image, and the cat is sitting on top of it.",yes,yes,1,1,0
sample_000185,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is passing by a group of people holding umbrellas.","Yes, there is a bus in the image, and it is passing by a group of people holding umbrellas.",yes,yes,1,1,0
sample_000186,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000187,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, located next to the couch.","Yes, there is a chair in the image, which is located next to the couch.",yes,yes,1,1,0
sample_000188,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000189,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000190,bottle,Is there a bottle in the image?,all,"Yes, there is a bottle in the image, which is a bottle of wine.","Yes, there is a bottle in the image, which is placed next to a sandwich.",yes,yes,1,1,0
sample_000191,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000192,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, parked next to the motorcycle.","Yes, there is a bus in the image, and it is parked next to the motorcycle.",yes,yes,1,1,0
sample_000193,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image, and it is located next to a window.","Yes, there is a bench in the image, and a person is sitting on it.",yes,yes,1,1,0
sample_000194,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image.","Yes, there is a chair in the image, and it is positioned in front of a desk.",yes,yes,1,1,0
sample_000195,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a red and white bus.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000196,car,Is there a car in the image?,all,"Yes, there is a car in the image, and the man and the child are riding on the back of it.","Yes, there is a car in the image, and it is located behind the man and the child.",yes,yes,1,1,0
sample_000197,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000198,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000199,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a city bus driving down a street at night.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000200,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000201,cat,Is there a cat in the image?,all,"No, there is no cat in the image. The image features a dog laying on the back of a car.","No, there is no cat in the image. The image features a dog lying on the ground.",no,no,0,0,0
sample_000202,bicycle,Is there a bicycle in the image?,all,"Yes, there is a bicycle in the image.","Yes, there is a bicycle in the image.",yes,yes,1,1,0
sample_000203,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, which is located in the middle of the room.","Yes, there is a chair in the image, which is located in a room with a rug.",yes,yes,1,1,0
sample_000204,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is driving down a busy street.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000205,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000206,car,Is there a car in the image?,all,"Yes, there is a car in the image. It is a white car parked on the side of the road.","Yes, there is a car in the image, which is parked on the side of the road.",yes,yes,1,1,0
sample_000207,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image. It is a small dog, and it is laying on a book.","Yes, there is a dog in the image. It is a stuffed dog, and it is sitting on top of a book.",yes,yes,1,1,0
sample_000208,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image, and it is sitting on the laptop.","Yes, there is a cat in the image, and it is sitting on top of the laptop computer.",yes,yes,1,1,0
sample_000209,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image. It is a white chair with a pillow on it.","Yes, there is a chair in the image, and it is positioned in front of a television.",yes,yes,1,1,0
sample_000210,bicycle,Is there a bicycle in the image?,all,"Yes, there is a bicycle in the image, parked next to a building.","Yes, there is a bicycle in the image, parked next to a building.",yes,yes,1,1,0
sample_000211,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000212,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000213,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is looking into the oven.",yes,yes,1,1,0
sample_000214,car,Is there a car in the image?,all,"Yes, there is a car in the image, and the motorcycle rider is passing by it.","Yes, there is a car in the image, and the person is riding a motorcycle next to it.",yes,yes,1,1,0
sample_000215,car,Is there a car in the image?,all,"Yes, there is a car in the image, parked in front of a building.","Yes, there is a car in the image, parked on the street.",yes,yes,1,1,0
sample_000216,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is driving down a wet street.","Yes, there is a car in the image, and it is driving down a wet street.",yes,yes,1,1,0
sample_000217,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image, and a rooster is standing next to it.",yes,yes,1,1,0
sample_000218,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a red bus driving down a street.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000219,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000220,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000221,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image. It is a small, fluffy dog.","Yes, there is a small dog in the image.",yes,yes,1,1,0
sample_000222,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000223,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is red.","Yes, there is a car in the image, which is a red sports car.",yes,yes,1,1,0
sample_000224,car,Is there a car in the image?,all,"Yes, there is a car in the image, parked next to a fire hydrant.","Yes, there is a car in the image, parked next to a fire hydrant.",yes,yes,1,1,0
sample_000225,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, located in front of the fireplace.","Yes, there is a chair in the image, located in front of the fireplace.",yes,yes,1,1,0
sample_000226,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000227,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is parked next to the motorcycle.","Yes, there is a car in the image, and it is parked next to the motorcycle.",yes,yes,1,1,0
sample_000228,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is parked on the side of the road.",Yes,yes,yes,1,1,0
sample_000229,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000230,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is parked next to a red sports car.","Yes, there is a bus in the image, and it is parked next to a red car.",yes,yes,1,1,0
sample_000231,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000232,bicycle,Is there a bicycle in the image?,all,"Yes, there is a bicycle in the image, parked on the side of the street.","Yes, there is a bicycle in the image, along with a row of motorcycles.",yes,yes,1,1,0
sample_000233,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image, located near the water and surrounded by tall grass.","Yes, there is a bench in the image, located near the water.",yes,yes,1,1,0
sample_000234,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000235,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000236,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image, and it is covered with a blue tablecloth.",yes,yes,1,1,0
sample_000237,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is driving down a street.","Yes, there is a car in the image, which is parked in front of a street sign.",yes,yes,1,1,0
sample_000238,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000239,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000240,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image, and it is hiding behind a window.",yes,yes,1,1,0
sample_000241,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image. It is a large bus with a colorful design, and it is driving down a street.","Yes, there is a bus in the image.",yes,yes,1,1,0
sample_000242,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and it is positioned in front of a desk.","Yes, there is a chair in the image, and it is purple.",yes,yes,1,1,0
sample_000243,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image, and it is sitting on the toilet seat.",yes,yes,1,1,0
sample_000244,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and a man is sitting on it.","Yes, there is a chair in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000245,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000246,car,Is there a car in the image?,all,"Yes, there is a car in the image, and the man is walking past it.","Yes, there is a car in the image, and the man wearing the red hat is standing next to it.",yes,yes,1,1,0
sample_000247,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image, and a cat is sitting on it.","Yes, there is a bench in the image, and a cat is sitting on it.",yes,yes,1,1,0
sample_000248,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and it is placed at the dining table.","Yes, there is a chair in the image, and it is positioned in front of a wooden dining table.",yes,yes,1,1,0
sample_000249,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000250,car,Is there a car in the image?,all,"Yes, there is a car in the image, parked in front of a building.","Yes, there is a car in the image, parked in front of a stop sign.",yes,yes,1,1,0
sample_000252,car,Is there a car in the image?,all,"No, there is no car in the image. The image features a motorcycle and a jeep.","No, there is no car in the image. The image features a motorcycle and a tank.",no,no,0,0,0
sample_000253,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is driving down a busy street.","Yes, there is a car in the image.",yes,yes,1,1,0
sample_000254,bench,Is there a bench in the image?,all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000255,cat,Is there a cat in the image?,all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000256,bus,Is there a bus in the image?,all,"Yes, there is a bus in the image, and it is parked next to a silver car.","Yes, there is a bus in the image, and it is parked next to a silver car.",yes,yes,1,1,0
sample_000257,cat,Is there a cat in the image?,all,"No, there is no cat in the image. The image features a spider and a bird.","No, there is no cat in the image. The image features a bird, specifically a spider monkey, and a brick wall.",no,no,0,0,0
sample_000258,dog,Is there a dog in the image?,all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000259,car,Is there a car in the image?,all,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is parked in front of a building.",yes,yes,1,1,0
sample_000260,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and it is positioned in front of the desk.","Yes, there is a chair in the image, located in front of the desk.",yes,yes,1,1,0
sample_000261,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image.","Yes, there is a chair in the image, and it is green.",yes,yes,1,1,0
sample_000262,chair,Is there a chair in the image?,all,"Yes, there is a chair in the image, and the cat is sitting on it.","Yes, there is a chair in the image, and a cat is sitting on it.",yes,yes,1,1,0
