sample_id,target_object,prompt,uncertainty_condition,random_condition,uncertainty_text,random_text,uncertainty_answer_class,random_answer_class,uncertainty_hallucinated,random_hallucinated,paired_advantage
sample_000094,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is sitting on a bench.",yes,yes,1,1,0
sample_000095,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image.","Yes, there is a bus in the image, and it is driving down a road.",yes,yes,1,1,0
sample_000096,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and a person is sitting on it.","Yes, there is a bench in the image, and a person is sitting on it.",yes,yes,1,1,0
sample_000097,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is parked in a grassy area.","Yes, there is a bus in the image, and it is parked in a grassy area.",yes,yes,1,1,0
sample_000098,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is parked on the street.",yes,yes,1,1,0
sample_000099,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is covered in a tarp.","Yes, there is a car in the image, and it is parked in a parking lot.",yes,yes,1,1,0
sample_000100,bench,Is there a bench in the image?,all,random_all,"No, there is no bench in the image. The image features a truck, a trailer, and a tire.","No, there is no bench in the image. The image features a white truck and a white emergency vehicle, such as an ambulance or a fire truck, parked next to each other.",no,no,0,0,0
sample_000101,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000102,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is parked on the side of the street.","Yes, there is a bus in the image, and it is parked on the side of the street.",yes,yes,1,1,0
sample_000103,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked on the street.","Yes, there is a car in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000104,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is standing next to a fire hydrant.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000105,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image, and it is being ridden by a person.","Yes, there is a bicycle in the image, and it is parked on the sidewalk.",yes,yes,1,1,0
sample_000106,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a couch with a bowl on it.","No, there is no cat in the image. The image features a couch with a table and a bowl on it.",no,no,0,0,0
sample_000107,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is parked at a bus stop.","Yes, there is a bus in the image, and it is parked at a bus stop.",yes,yes,1,1,0
sample_000108,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000109,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a person's hand and a cat's paw.","No, there is no cat in the image. The image features a person's hand and a cat's paw.",no,no,0,0,0
sample_000110,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is laying on a bed.","Yes, there is a dog in the image, and it is laying on a bed with blankets.",yes,yes,1,1,0
sample_000111,bus,Is there a bus in the image?,all,random_all,No,"No, there is no bus in the image. The image features a car driving down a street.",no,no,0,0,0
sample_000112,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is sitting on a table.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000113,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, and it is placed on a table.","Yes, there is a bottle in the image, and it is placed on a table.",yes,yes,1,1,0
sample_000114,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a person holding a suitcase and a magazine.","No, there is no cat in the image. The image features a person holding a bag, which is open and has a magazine inside.",no,no,0,0,0
sample_000115,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features a cat sitting on a table.","No, there is no car in the image. The image features a cat sitting in a dark room.",no,no,0,0,0
sample_000116,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and the stuffed animals are sitting on it.","Yes, there is a bench in the image, and the stuffed animals are sitting on it.",yes,yes,1,1,0
sample_000117,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is sitting on a wooden floor.",yes,yes,1,1,0
sample_000118,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000119,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a dog and a cat statue.","No, there is no cat in the image. The image features a dog and a cat statue.",no,no,0,0,0
sample_000120,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is sitting on the edge of a sink.","Yes, there is a cat in the image, and it is sitting on the edge of a sink.",yes,yes,1,1,0
sample_000121,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000122,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is passing by a train.","Yes, there is a car in the image, and it is driving next to a train.",yes,yes,1,1,0
sample_000123,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked in a parking lot.","Yes, there is a car in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000124,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000125,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a dark room with a light source, possibly a window, and a reflection of a person in the room.","No, there is no bus in the image. The image features a large room with a ceiling and a light source, which appears to be a skylight.",no,no,0,0,0
sample_000126,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is driving down the street.","Yes, there is a car in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000127,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is parked in front of a tall building.","Yes, there is a bus in the image, and it is parked in front of a building.",yes,yes,1,1,0
sample_000128,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000129,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features a man standing in front of a pile of carrots.","No, there is no car in the image. The image features a man sitting in front of a pile of carrots.",no,no,0,0,0
sample_000130,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and a cat is sitting on it.","Yes, there is a chair in the image, and a cat is sitting on it.",yes,yes,1,1,0
sample_000131,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000132,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is driving down a street.","Yes, there is a bus in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000133,bottle,Is there a bottle in the image?,all,random_all,"No, there is no bottle in the image. The image features a dog laying on a carpet.","No, there is no bottle in the image. The image features a dog laying on a carpet.",no,no,0,0,0
sample_000134,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a laptop computer sitting on a wooden desk.","No, there is no cat in the image. The image features a laptop computer sitting on a wooden desk.",no,no,0,0,0
sample_000135,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and the cat is sitting on it.","Yes, there is a chair in the image, and the cat is sitting on it.",yes,yes,1,1,0
sample_000136,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000137,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000138,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image, and a man is standing next to it.","Yes, there is a bicycle in the image, and it is parked next to a fire hydrant.",yes,yes,1,1,0
sample_000139,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features a table with plates, a glass of wine, and a sandwich.","No, there is no car in the image. The image features a table with plates, a wine glass, and a bottle of wine.",no,no,0,0,0
sample_000140,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000141,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is being held by a man wearing a cowboy hat.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000142,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is standing on the beach.","Yes, there is a dog in the image, and it is standing on the beach.",yes,yes,1,1,0
sample_000143,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a person holding a suitcase and a magazine.","No, there is no dog in the image. The image features a person holding a suitcase and a magazine.",no,no,0,0,0
sample_000144,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a horse standing in a grassy field.","No, there is no dog in the image. The image features a horse standing in a grassy field.",no,no,0,0,0
sample_000145,bench,Is there a bench in the image?,all,random_all,"No, there is no bench in the image. The image features a brick wall and a dark background.","No, there is no bench in the image. The image features a black and white photo of a brick wall.",no,no,0,0,0
sample_000146,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a car driving down a street in front of a building.","No, there is no bus in the image. The image features a car driving down a street in front of a building.",no,no,0,0,0
sample_000147,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is standing on a toilet.",yes,yes,1,1,0
sample_000148,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image, and a man is standing next to it.","No, there is no bicycle in the image. The image features a man standing next to a motorcycle.",yes,no,1,0,-1
sample_000149,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image. It is a white dog.",yes,yes,1,1,0
sample_000150,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is parked on the side of the road.","Yes, there is a bus in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000151,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a suitcase with a zipper and a handle.","No, there is no cat in the image. The image features a suitcase with a zipper and a tag.",no,no,0,0,0
sample_000152,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a laptop computer and a bag of fabric.","No, there is no dog in the image. The image features a laptop computer sitting on a bed.",no,no,0,0,0
sample_000153,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a blue ball on a table.","No, there is no dog in the image. The image features a blue ball on a table.",no,no,0,0,0
sample_000154,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and it is located inside a bus.","Yes, there is a chair in the image, and it is located inside a bus.",yes,yes,1,1,0
sample_000155,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image. It is lying on a couch, and it appears to be sleeping.","Yes, there is a dog in the image. It is laying on a couch next to a cat.",yes,yes,1,1,0
sample_000156,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features a boy on a skateboard, a bicycle, and a road.","No, there is no car in the image. The image features a young boy on a skateboard.",no,no,0,0,0
sample_000157,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image, and a woman is sitting on it.","Yes, there is a bicycle in the image, and a woman is sitting on it.",yes,yes,1,1,0
sample_000158,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked on a dirt road.","Yes, there is a car in the image, and it is parked on a dirt road.",yes,yes,1,1,0
sample_000159,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image. It is lying on a bed, possibly on a blanket.",yes,yes,1,1,0
sample_000160,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and two people are sitting on it.","Yes, there is a bench in the image, and two people are sitting on it.",yes,yes,1,1,0
sample_000161,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is looking out of a window.","Yes, there is a cat in the image, and it is looking out of a window.",yes,yes,1,1,0
sample_000162,bench,Is there a bench in the image?,all,random_all,"No, there is no bench in the image. The image features a dog standing on a sidewalk next to a tree.","No, there is no bench in the image. The image features a dog standing on a sidewalk next to a tree.",no,no,0,0,0
sample_000163,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and it is located next to a potted plant.","Yes, there is a bench in the image, and it is located next to a potted plant.",yes,yes,1,1,0
sample_000164,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a sink and a faucet.","Yes, there is a cat in the image, sitting on top of a sink.",no,yes,0,1,1
sample_000165,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image, which is parked on a wooden floor.","Yes, there is a bicycle in the image, which is leaning against a wall.",yes,yes,1,1,0
sample_000166,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image, and it is laying on top of a laptop computer.","Yes, there is a cat in the image, and it is laying on top of a laptop computer.",yes,yes,1,1,0
sample_000167,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and the man is pushing a luggage cart next to it.","Yes, there is a car in the image, and the man is pushing a cart with a shopping cart attached to it.",yes,yes,1,1,0
sample_000168,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, and it is placed next to a sandwich.","Yes, there is a bottle in the image, and it is placed next to a sandwich.",yes,yes,1,1,0
sample_000169,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image, and it is walking with a person.",yes,yes,1,1,0
sample_000170,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a bed with a blanket and a pillow.","No, there is no dog in the image. The image features a bed with a blanket and a pillow.",no,no,0,0,0
sample_000171,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a car driving down a wet road.","No, there is no bus in the image. The image features a car driving down a wet road.",no,no,0,0,0
sample_000172,car,Is there a car in the image?,all,random_all,"No, there is no car in the image. The image features a horse and a dog walking down a road.","No, there is no car in the image. The image features a horse and a dog walking down a road.",no,no,0,0,0
sample_000173,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is laying on a blanket.","Yes, there is a dog in the image, and it is sitting on a pile of blankets.",yes,yes,1,1,0
sample_000174,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and it is positioned in front of the desk.","Yes, there is a chair in the image, and it is positioned in front of the desk.",yes,yes,1,1,0
sample_000175,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000176,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and the woman is sitting on it.","No, there is no chair in the image. The person is sitting on a brick wall.",yes,no,1,0,-1
sample_000177,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and a man is sitting on it.","Yes, there is a chair in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000178,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and the two children are sitting on it.","Yes, there is a chair in the image, and a little girl is sitting on it.",yes,yes,1,1,0
sample_000179,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is driving next to a bus.","Yes, there is a car in the image, and it is driving next to a bus.",yes,yes,1,1,0
sample_000180,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is laying on the floor next to the person.","Yes, there is a dog in the image, and it is laying on the floor next to a person who is watching television.",yes,yes,1,1,0
sample_000181,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and a woman is sitting on it.","Yes, there is a bench in the image, and a woman is sitting on it.",yes,yes,1,1,0
sample_000182,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, and it is sitting in a cage.","Yes, there is a dog in the image, and it is laying down on a bed of hay.",yes,yes,1,1,0
sample_000183,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image, lying on a bed with blankets.","Yes, there is a dog in the image, lying on a bed with blankets.",yes,yes,1,1,0
sample_000184,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and the cat is sitting on top of it.","Yes, there is a chair in the image, and the cat is sitting on top of it.",yes,yes,1,1,0
sample_000185,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features people holding umbrellas and walking on a street.","No, there is no bus in the image. The image features people holding umbrellas and walking on a street.",no,no,0,0,0
sample_000186,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000187,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, which is located next to the couch.","Yes, there is a chair in the image, located next to the couch.",yes,yes,1,1,0
sample_000188,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is blurry.","Yes, there is a bus in the image, and it is blurry.",yes,yes,1,1,0
sample_000189,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000190,bottle,Is there a bottle in the image?,all,random_all,"Yes, there is a bottle in the image, which is placed next to the sandwich.","Yes, there is a bottle in the image, which is placed next to the sandwich.",yes,yes,1,1,0
sample_000191,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a car and a motorcycle.","No, there is no bus in the image. The image features a car and a motorcycle.",no,no,0,0,0
sample_000192,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is parked next to the motorcycle.","Yes, there is a bus in the image, parked next to the motorcycle.",yes,yes,1,1,0
sample_000193,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and a person is sitting on it.","Yes, there is a bench in the image, and a person is sitting on it.",yes,yes,1,1,0
sample_000194,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, located next to the desk.","Yes, there is a chair in the image, located next to the desk.",yes,yes,1,1,0
sample_000195,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a red truck driving down a road.","No, there is no bus in the image. The image features a truck driving down a road.",no,no,0,0,0
sample_000196,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and the man and the child are riding on the back of it.","Yes, there is a car in the image, and the man and the child are riding on the back of it.",yes,yes,1,1,0
sample_000197,bench,Is there a bench in the image?,all,random_all,"No, there is no bench in the image. The image features a tree growing in a dirt field, with a building in the background.","No, there is no bench in the image. The image features a small tree growing in a dirt field or a small garden.",no,no,0,0,0
sample_000198,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image.","Yes, there is a bench in the image.",yes,yes,1,1,0
sample_000199,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is driving down the street.","Yes, there is a bus in the image, and it is driving down the street.",yes,yes,1,1,0
sample_000200,bus,Is there a bus in the image?,all,random_all,"Yes, there is a bus in the image, and it is parked on the side of the road.","Yes, there is a bus in the image, and it is parked on the side of the road.",yes,yes,1,1,0
sample_000201,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a car, specifically the hood of a car.","No, there is no cat in the image. The image features a car, not a cat.",no,no,0,0,0
sample_000202,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image, and it is parked in front of a house.","Yes, there is a bicycle in the image.",yes,yes,1,1,0
sample_000203,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, which is located in the living room.","Yes, there is a chair in the image, which is located in a room with a rug.",yes,yes,1,1,0
sample_000204,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is driving down the street.","No, there is no car in the image. The image features a street with traffic lights and street signs.",yes,no,1,0,-1
sample_000205,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a pair of shoes and a wall.","No, there is no cat in the image. The image features a pair of shoes and a wall.",no,no,0,0,0
sample_000206,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is partially visible through a window.","Yes, there is a car in the image, and it is partially visible through a window.",yes,yes,1,1,0
sample_000207,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image. It is a small dog, and it is laying on top of a book.","Yes, there is a dog in the image.",yes,yes,1,1,0
sample_000208,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a laptop computer sitting on a table.","No, there is no cat in the image. The image features a laptop computer sitting on a table.",no,no,0,0,0
sample_000209,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, and it is positioned in front of a television.","Yes, there is a chair in the image, and it is positioned in front of a television.",yes,yes,1,1,0
sample_000210,bicycle,Is there a bicycle in the image?,all,random_all,"No, there is no bicycle in the image. The image features a door with a wooden frame and a brick wall.","No, there is no bicycle in the image. The image features a door with a wooden frame and a brick wall.",no,no,0,0,0
sample_000211,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a blue ball, a red pen, and a wooden table.","No, there is no cat in the image. The image features a blue ball, a red pen, and a wooden table.",no,no,0,0,0
sample_000212,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and the person is sitting on it.","Yes, there is a bench in the image, and an elderly woman is sitting on it.",yes,yes,1,1,0
sample_000213,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a stove top oven with a door open.","No, there is no dog in the image. The image features a stove top oven with a light shining on it.",no,no,0,0,0
sample_000214,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and the motorcycle is riding next to it.","Yes, there is a car in the image, and the motorcycle rider is passing by it.",yes,yes,1,1,0
sample_000215,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, parked on the side of the road.","Yes, there is a car in the image, parked on the street.",yes,yes,1,1,0
sample_000216,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is driving down a wet street.","No, there is no car in the image. The image shows an empty street with a red traffic light.",yes,no,1,0,-1
sample_000217,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and the rooster is standing next to it.","Yes, there is a bench in the image, and the chicken is standing next to it.",yes,yes,1,1,0
sample_000218,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a row of trees, a sidewalk, and a bench.","No, there is no bus in the image. The image features a brick road, a building, and a row of trees.",no,no,0,0,0
sample_000219,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and a man is sitting on it.","Yes, there is a bench in the image, and a man is sitting on it.",yes,yes,1,1,0
sample_000220,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, and the person is sitting on it.","Yes, there is a bench in the image, and the person is sitting on it.",yes,yes,1,1,0
sample_000221,dog,Is there a dog in the image?,all,random_all,"No, there is no dog in the image. The image features a pile of books and papers on a table.","No, there is no dog in the image. The image features a pile of books and papers.",no,no,0,0,0
sample_000222,dog,Is there a dog in the image?,all,random_all,"Yes, there is a dog in the image. It is laying down on the grass.","Yes, there is a dog in the image. It is a black dog standing on a grassy field.",yes,yes,1,1,0
sample_000223,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, which is parked in front of a building.","Yes, there is a car in the image, and it is parked in front of a building.",yes,yes,1,1,0
sample_000224,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and it is parked in a parking lot.","Yes, there is a car in the image, and it is driving down a street.",yes,yes,1,1,0
sample_000225,chair,Is there a chair in the image?,all,random_all,"Yes, there is a chair in the image, located next to a fireplace.","Yes, there is a chair in the image, located in front of the fireplace.",yes,yes,1,1,0
sample_000226,cat,Is there a cat in the image?,all,random_all,"No, there is no cat in the image. The image features a box with a hat and a pair of shoes.","No, there is no cat in the image. The image features a box with a pirate hat and a pair of sneakers inside.",no,no,0,0,0
sample_000227,car,Is there a car in the image?,all,random_all,"Yes, there is a car in the image, and the motorcycle cop is riding next to it.","Yes, there is a car in the image, and the motorcycle cop is standing next to it.",yes,yes,1,1,0
sample_000228,bus,Is there a bus in the image?,all,random_all,Yes,"Yes, there is a bus in the image, and it is parked on the side of the street.",yes,yes,1,1,0
sample_000229,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000230,bus,Is there a bus in the image?,all,random_all,"No, there is no bus in the image. The image features a red car parked in front of a building.","No, there is no bus in the image. The image features a red car parked in front of a building.",no,no,0,0,0
sample_000231,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000232,bicycle,Is there a bicycle in the image?,all,random_all,"Yes, there is a bicycle in the image, parked next to a row of motorcycles.","Yes, there is a bicycle in the image, parked on the sidewalk next to a row of motorcycles.",yes,yes,1,1,0
sample_000233,bench,Is there a bench in the image?,all,random_all,"Yes, there is a bench in the image, located near the water.","No, there is no bench in the image. The image features a body of water, grass, and a dock.",yes,no,1,0,-1
sample_000234,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000235,cat,Is there a cat in the image?,all,random_all,"Yes, there is a cat in the image.","Yes, there is a cat in the image.",yes,yes,1,1,0
sample_000236,bench,Is there a bench in the image?,all,random_all,"No, there is no bench in the image. The image features a table with plates of food and a fork.","No, there is no bench in the image. The image features a table with plates of food and a person sitting at the table.",no,no,0,0,0
